Conversiones,Inversion_USD,Puntaje_Creativo,Precision_Targeting,CTA_Claro,Num_Hashtags,Hora_Publicacion,Longitud_Texto,Dia_Semana
51,627,7,77,1,15,10.6,326,3
115,845,8,79,1,2,12.1,155,4
38,626,7,40,1,20,21.5,279,2
26,231,10,65,1,1,12.6,550,1
73,602,9,84,0,8,23.1,516,3
53,652,4,89,0,1,22.9,309,1
19,175,10,75,1,19,8.3,303,7
38,846,4,78,0,18,15.7,299,7
59,854,10,42,0,7,17.4,318,7
63,417,9,80,1,18,18.4,346,4
28,460,3,66,0,9,16.8,192,6
39,508,8,47,0,1,14.2,327,3
72,601,10,81,0,1,20.3,542,7
10,309,3,39,0,19,8,161,7
52,773,7,73,0,1,20.5,294,5
13,217,8,88,0,18,12.1,493,6
64,564,4,79,1,10,11.2,423,4
21,240,3,89,0,7,17.3,527,1
48,835,6,52,0,15,22.8,234,1
45,354,8,69,0,6,18.8,400,5
27,329,8,52,1,10,8.8,131,4
22,519,3,60,1,1,8.7,468,6
22,249,9,45,1,19,12.8,176,4
80,670,5,66,1,11,10.7,256,5
49,837,6,53,0,9,19,435,5
15,223,8,78,0,8,16.4,546,7
93,822,8,71,0,8,20,435,1
88,685,8,91,0,3,10.6,260,3
27,340,10,62,1,15,14.4,409,5
31,597,3,62,1,20,16.4,212,4
17,302,6,44,0,6,17.3,306,3
21,306,7,77,0,11,11.5,481,7
71,550,10,53,1,4,21.8,473,7
19,363,6,48,0,9,19.2,262,3
29,366,4,42,1,2,15.6,120,4
69,581,9,42,1,8,20.4,504,6
42,490,6,88,0,9,17,346,7
34,402,8,44,1,3,9.3,133,5
50,666,5,52,1,20,10.3,426,5
85,860,4,91,1,12,19.5,342,3
62,619,7,95,1,1,8.1,136,4
23,159,10,49,1,6,18.4,210,7
41,772,6,95,0,3,8.4,219,5
128,880,5,96,1,3,9.7,313,5
84,777,9,64,1,14,22.4,134,7
15,237,9,43,1,16,21,274,6
16,174,5,87,0,6,10.2,314,7
36,401,8,60,0,22,20.9,401,4
54,639,7,87,1,14,13.9,371,5
12,172,5,78,0,17,21,208,2
35,690,3,46,1,6,13.2,141,5
36,428,4,71,1,16,10.3,168,7
24,398,5,48,0,11,19.4,541,3
144,899,8,81,1,9,19.5,329,6
13,200,9,76,0,18,8.7,538,2
81,871,3,98,1,10,9.2,366,7
40,529,4,77,0,1,19,485,7
66,672,4,88,1,19,17.6,120,4
85,739,6,89,1,1,13.2,232,6
50,504,8,68,0,11,10.1,472,2
48,822,8,46,0,17,10.5,393,2
43,807,6,64,0,16,21.4,416,1
82,811,9,48,1,8,22.2,443,4
80,567,8,69,1,4,13.8,298,1
45,592,6,45,1,16,13.8,381,4
24,283,9,39,1,9,12.4,202,7
22,475,7,40,1,22,10.3,227,5
51,699,6,63,1,1,12.2,361,2
52,570,7,77,0,5,17.4,317,5
37,606,8,49,0,20,20.6,150,2
37,266,7,96,1,18,11,143,3
29,202,5,96,1,8,10.4,122,6
57,763,10,40,1,22,15.5,343,1
44,537,10,78,0,10,19.4,148,1
31,421,8,52,1,16,14.9,475,5
46,318,5,63,1,7,12.9,165,2
52,543,5,82,1,18,18.1,131,6
38,680,3,76,0,7,13.6,321,6
10,249,5,43,0,21,23.1,300,6
130,868,5,84,1,13,13.2,454,4
26,346,4,67,1,16,23,550,1
39,256,6,94,1,11,19.1,522,6
10,186,3,76,0,17,15.4,134,7
49,857,5,42,1,8,16,411,5
49,828,3,61,1,18,21.4,393,7
31,463,8,35,1,21,21.5,325,2
27,570,6,53,1,19,10.8,253,7
31,490,7,68,0,3,15,305,7
32,447,4,53,1,6,20.1,190,1
26,360,3,35,1,22,19,490,2
18,649,8,39,0,19,9,343,4
69,694,3,62,1,12,14,372,2
54,522,10,59,1,1,17.4,356,7
42,875,6,58,0,2,9.2,144,7
25,339,4,77,1,18,22.9,242,7
25,653,4,40,0,18,21.5,178,7
35,492,6,50,1,1,16.6,226,1
37,397,8,54,0,11,20.5,197,3
92,591,10,67,1,8,8.7,255,2
16,193,3,70,0,4,17,148,3
69,575,5,97,1,5,14.2,223,7
47,475,6,82,1,21,13,152,1
45,757,3,67,0,16,13.9,219,3
57,776,10,35,1,3,14.6,540,6
35,546,3,52,1,3,15.5,512,5
51,665,3,61,1,8,10.2,467,1
10,152,7,41,0,9,22.2,455,6
24,515,6,40,1,11,11,139,7
92,668,8,45,1,6,15.7,149,4
57,819,8,86,0,2,14.1,453,5
24,183,4,83,1,14,17.7,217,1
66,678,8,35,1,11,11.8,489,3
89,552,8,51,1,6,19.9,231,4
49,426,9,77,0,18,17.4,512,4
24,409,4,74,0,17,13.6,242,6
51,874,10,67,0,9,21.9,360,7
13,186,9,55,0,12,21.8,148,7
77,828,9,52,1,13,17.2,155,3
36,779,5,41,0,8,21.4,169,4
59,701,7,79,0,11,16,329,5
26,213,9,75,1,2,20.5,208,5
20,234,4,71,1,20,18.2,167,1
88,735,10,83,1,1,21.8,192,7
32,286,4,71,1,6,20.4,244,3
31,465,7,41,1,8,13.3,223,1
75,829,4,82,0,17,19.1,358,2
56,856,10,49,0,6,10.9,340,4
48,566,5,82,1,19,10.5,467,5
18,216,10,49,1,14,17.4,460,6
40,540,3,64,0,8,16.6,205,1
102,637,6,77,1,9,20.2,235,4
79,836,7,82,0,7,9,502,7
17,256,4,40,0,8,18.1,305,1
16,216,4,53,1,10,17,300,1
120,898,6,90,1,13,9.8,529,7
14,187,3,61,1,9,11.8,379,1
63,627,8,79,1,16,16.6,527,3
169,840,9,94,1,11,21.3,205,3
26,340,9,74,0,17,8,437,2
36,256,8,80,1,16,18.9,457,1
48,753,3,49,1,6,13.9,290,1
47,589,8,76,1,11,11.8,328,6
47,590,3,93,1,22,20.7,496,1
121,694,10,92,1,13,11,527,4
35,354,3,73,0,8,19.1,247,3
27,267,5,83,1,19,16.2,204,4
47,745,3,54,1,17,16.2,399,4
10,182,4,40,0,1,11.7,124,1
47,422,8,59,1,9,15.8,176,7
47,618,6,78,0,16,15.6,195,2
67,511,7,77,1,10,17.4,191,4
77,555,4,89,1,10,23.3,327,4
30,538,9,56,0,12,14.6,391,3
21,221,10,72,1,20,18.7,162,7
49,830,10,51,0,17,23.2,423,4
85,842,4,96,1,6,13.9,367,7
17,282,4,50,1,19,22.6,428,6
28,497,8,55,0,8,8.3,136,1
114,870,10,90,0,5,11.2,151,1
50,708,7,39,1,19,14.8,406,1
93,819,8,67,1,2,18.9,177,2
29,620,3,92,1,22,8.2,330,6
87,817,7,95,0,3,22.6,241,4
38,387,3,89,0,7,10.6,523,1
70,649,7,81,0,8,8.9,270,2
14,266,7,36,1,21,19.1,367,2
21,181,6,48,1,10,22.4,349,4
27,559,3,70,0,1,21.1,326,6
65,666,6,40,1,6,22.6,470,4
42,294,7,90,1,15,18.7,178,3
45,430,3,78,1,18,10.9,265,3
102,821,9,89,1,3,9.5,529,7
32,347,9,48,1,17,15,357,5
65,613,6,74,1,2,21,288,4
58,607,3,58,1,1,19.4,242,5
19,192,7,86,1,4,14.6,377,6
26,278,9,79,0,8,11.9,482,1
36,409,3,80,1,10,23.5,341,4
84,829,10,69,1,3,16.7,239,4
16,346,6,45,1,22,18,405,6
84,732,6,75,1,12,18.2,369,4
58,531,7,67,1,10,19.8,465,5
41,506,4,79,1,3,11.9,290,6
34,536,9,70,0,22,21.7,180,6
42,538,10,76,0,13,17,303,7
51,400,7,58,1,11,11.3,396,1
51,517,7,82,1,16,15.4,486,4
52,802,9,79,0,18,18.4,465,6
46,362,10,58,1,8,11.8,141,1
115,747,10,75,1,10,17.1,397,1
30,218,8,72,1,15,19.3,492,3
34,356,9,65,0,5,10.1,495,4
55,442,3,67,1,5,12.2,252,3
23,431,4,55,0,19,19.8,431,3
13,208,3,47,1,6,10.5,198,6
21,481,7,54,0,17,15.7,343,6
52,388,5,94,1,11,16,539,3
46,660,9,42,0,5,21.8,481,6
10,209,4,94,0,22,15.1,197,1
53,408,3,91,1,9,15.4,267,5
34,457,4,93,0,2,17.9,177,1
51,900,5,35,0,8,19.6,185,1
126,842,9,88,0,13,18.8,524,3
16,198,3,74,0,8,19.5,359,2
30,638,7,37,1,22,11.7,412,5
49,587,8,77,0,16,17.1,149,5
46,763,4,60,1,17,23.2,229,6
47,387,9,61,1,1,14,120,7
15,165,10,50,1,2,19.6,198,4
23,317,3,92,0,11,18.3,187,6
10,155,7,56,0,4,14.7,296,7
19,623,3,54,0,19,8.5,331,5
65,786,7,52,0,5,17.2,406,7
75,817,5,64,1,15,8.5,293,3
23,498,3,66,1,15,12.4,262,7
31,513,3,96,0,3,14.9,247,6
56,683,6,45,0,10,17.3,192,2
24,268,5,51,1,5,12.9,413,5
29,290,8,86,1,17,12.9,358,4
30,639,6,35,0,2,18.3,409,5
16,187,4,71,1,17,15.1,223,4
40,506,6,63,1,6,18,323,6
47,611,5,96,0,18,13.9,288,1
32,248,3,63,1,6,19.3,242,2
55,547,6,85,1,18,20.3,473,3
50,578,6,44,1,11,9.9,545,4
47,756,4,57,1,1,13.7,380,2
10,172,3,54,0,21,8.1,273,2
16,163,4,93,1,21,8.7,372,2
17,327,3,82,0,5,16.2,255,5
43,400,6,94,1,11,22.8,337,4
62,848,10,50,1,18,11.6,394,6
84,564,9,92,1,13,16.2,310,3
33,529,5,56,1,19,10.1,163,7
25,556,8,60,0,17,13.5,291,7
90,740,8,46,1,10,18.6,257,2
24,349,8,70,0,14,12.9,435,6
29,315,6,61,1,14,17.3,164,3
33,566,7,72,0,20,11.9,212,3
53,440,9,78,1,11,16.4,496,3
57,596,9,78,1,22,23.3,237,2
52,868,9,42,0,5,23.1,491,2
33,602,5,66,0,16,8.1,403,4
13,158,4,80,0,15,16.3,453,3
60,839,7,67,0,3,10.6,298,5
50,432,8,39,1,10,9.3,396,4
78,846,10,64,1,12,21.6,299,6
81,758,10,88,0,1,13.6,123,5
139,882,9,83,1,20,19.5,469,2
38,627,3,38,1,18,15.8,528,3
10,368,5,35,0,15,8.6,318,6
21,274,9,70,1,19,11.5,486,4
33,389,3,93,1,9,21.9,350,5
181,848,9,94,1,8,18.7,288,1
67,807,7,86,0,14,10.8,231,1
40,378,8,66,0,8,13.9,356,2
61,671,10,78,0,16,20,135,6
19,443,3,57,0,2,12.1,526,4
69,839,8,67,1,2,14.7,187,5
10,301,3,45,0,6,8.3,281,5
47,562,3,85,1,7,11.6,324,5
42,501,5,92,0,12,23.4,216,1
54,448,8,49,1,19,17.6,243,4
43,569,9,68,0,8,20,343,5
118,828,10,84,1,15,16.1,366,4
16,253,5,71,1,20,19.1,488,7
54,493,3,76,1,6,10.6,374,6
13,189,10,38,1,16,16,148,1
11,166,4,64,1,21,11.8,295,1
51,367,9,76,1,14,12.6,480,5
14,384,7,52,0,1,12.6,143,6
27,501,4,58,0,14,9.4,466,4
97,714,9,76,1,6,18.6,513,1
32,636,7,96,0,17,15.2,312,6
39,717,10,56,0,21,8.7,485,7
23,399,6,64,1,21,16.7,353,1
55,559,6,70,1,15,11.8,283,1
113,627,9,60,1,10,18.4,417,3
54,493,8,86,1,17,8.6,129,3
48,717,5,72,1,4,11.1,374,6
64,726,6,85,0,8,13.3,419,7
42,287,6,95,1,3,16.2,368,4
51,870,3,53,1,6,9.7,263,1
40,432,6,94,1,21,9.2,260,3
12,173,7,41,1,15,17.5,202,5
77,629,5,81,1,4,21.4,222,5
43,469,8,42,1,22,10.5,313,4
39,426,8,55,1,7,12.2,124,4
66,489,6,93,1,2,20.9,153,1
30,457,9,58,1,22,22.2,549,1
50,842,9,65,0,15,21.8,259,6
26,851,3,51,0,17,11.8,257,6
94,791,6,73,1,3,22.6,454,6
70,608,8,80,1,22,17.1,331,3
39,548,7,93,0,21,12.4,225,6
109,791,8,86,1,1,22.4,328,4
29,218,8,97,1,20,10,374,1
31,710,5,85,0,19,23.2,299,5
30,666,8,38,0,21,12.2,127,2
143,720,8,72,1,10,19.2,525,4
12,192,7,43,0,10,20.7,290,3
66,679,7,96,1,19,12.3,335,3
67,632,10,64,0,4,10.2,413,3
11,187,4,50,1,9,11,177,5
54,550,8,82,1,14,15,292,7
30,416,10,88,0,16,11.2,333,6
67,636,7,71,1,20,20.3,420,5
78,710,10,83,1,21,8.2,481,7
17,491,6,35,0,20,9.6,141,5
41,888,6,57,0,10,15.2,536,5
25,515,8,42,1,19,22.3,329,7
10,160,6,80,1,22,22.9,279,7
52,400,9,75,0,13,18.7,177,2
57,447,8,64,1,3,20.5,313,4
23,296,3,83,0,15,20.5,470,5
17,260,5,40,1,14,14.7,184,2
27,186,9,93,1,3,10.5,495,6
12,210,3,75,1,19,14.3,125,5
14,237,5,83,1,21,15.2,332,6
60,728,4,94,0,11,20.8,231,1
32,574,6,55,1,15,12,499,6
46,656,5,44,1,2,11.1,535,5
37,610,7,48,1,16,14,449,5
23,319,9,64,1,17,16.9,196,7
20,237,7,61,0,15,19.4,140,3
28,397,3,70,1,6,9.3,125,7
51,716,5,56,1,20,16,413,2
66,663,4,86,1,8,11.3,536,1
45,400,9,73,1,15,16.1,492,6
38,773,3,43,1,3,8.1,220,7
27,454,9,40,1,20,9.6,138,3
39,499,6,49,0,9,16.2,180,4
21,365,7,57,0,3,10.3,315,2
22,361,4,60,0,17,19,137,1
36,691,3,63,1,21,23.1,169,2
32,291,5,50,1,1,17.8,210,4
55,638,6,50,1,6,14.6,526,1
50,379,8,46,1,5,15.7,224,3
54,471,9,91,0,11,12.1,179,4
36,554,5,71,0,15,13.1,150,5
14,156,5,67,0,14,17.3,527,3
75,733,9,96,0,3,19.6,340,4
51,847,3,58,1,3,9.9,509,6
95,618,10,78,1,9,8.2,128,4
79,760,8,83,1,13,12.3,319,3
25,520,5,56,0,12,14,175,3
23,516,7,53,1,22,8.3,328,7
120,734,9,97,1,19,18.8,483,7
14,150,4,68,1,17,13.5,406,3
37,568,9,39,0,16,18,548,5
43,851,8,61,0,20,11.3,152,5
24,358,7,83,0,15,14.2,400,3
24,163,9,98,1,17,10.3,224,6
57,516,9,65,1,13,22,338,3
100,860,10,50,1,4,19.5,431,4
57,690,4,93,1,15,22.9,190,2
165,756,9,96,1,4,11.8,299,4
32,521,4,73,1,17,14.5,153,7
59,708,6,95,0,6,10,264,1
53,820,8,48,0,12,12.9,285,3
16,181,5,41,1,3,19.3,180,7
29,547,9,53,0,15,14.7,364,4
40,752,7,67,0,11,23.3,403,6
29,411,7,86,0,4,18.9,372,6
26,311,4,93,1,11,17.9,255,7
31,211,9,87,1,8,8.4,507,7
17,321,5,39,0,8,16.7,512,7
17,214,4,87,1,12,13.1,423,6
37,289,10,55,1,10,23.4,386,4
20,318,3,45,1,7,9.2,151,1
38,726,8,60,0,19,19.9,431,6
45,505,3,83,1,11,11.1,362,2
57,881,6,62,0,19,9.4,464,1
17,200,3,48,1,7,19.4,244,4
55,386,10,76,1,16,20.7,146,6
26,200,7,70,1,13,15.6,325,2
114,773,5,93,1,9,12.1,132,6
25,397,6,63,1,20,14.2,127,7
97,740,4,81,1,5,14.2,291,3
37,711,8,37,1,4,23.5,395,1
33,310,4,95,1,4,22.6,462,2
40,539,7,54,1,22,9.5,521,7
45,583,10,58,0,13,22.5,134,5
21,352,4,62,1,21,13.4,324,7
36,536,4,72,1,18,20.2,342,6
47,688,4,85,0,6,11.3,437,1
16,154,5,85,0,10,14.6,172,4
20,268,5,61,1,20,15.1,231,5
40,816,5,60,0,10,15,210,2
20,197,10,68,1,5,11,245,6
16,210,4,53,1,11,14.5,336,4
24,418,3,74,0,7,13.2,473,3
43,898,3,63,0,5,8.4,374,7
14,202,4,58,0,7,13.8,469,3
24,270,6,87,0,3,16.5,512,5
30,333,9,66,0,5,14.3,252,5
56,505,7,83,1,14,17.9,159,6
63,812,3,36,1,2,17.9,267,4
47,600,6,95,0,9,13.6,361,6
68,806,10,82,1,15,16.4,128,6
22,294,7,84,1,17,15.4,426,1
60,537,8,86,0,1,10.6,278,4
34,284,4,94,1,17,19.7,305,2
20,180,6,62,1,19,17.3,466,4
54,645,9,91,0,17,12,324,5
63,664,9,46,1,1,18.6,412,7
36,651,6,48,0,14,19.1,269,6
31,562,10,35,0,3,12.9,394,2
14,153,8,82,1,13,18.1,447,7
34,186,9,76,1,8,17.9,461,7
11,152,5,66,0,12,17.7,539,6
17,216,7,69,1,20,20.2,492,4
87,610,3,96,1,4,22.7,340,3
61,543,10,65,1,9,22.8,360,7
14,158,8,38,1,6,17.2,271,2
42,571,9,38,1,21,14.2,144,6
72,759,9,90,0,19,21.1,423,5
21,459,3,61,0,4,17,129,5
83,802,8,57,1,4,15.5,228,7
53,675,4,39,1,22,19.6,447,4
39,403,6,86,1,5,15,524,5
72,671,9,93,1,16,11.2,335,5
27,273,5,68,1,10,16.2,372,2
58,659,5,84,1,16,8.8,345,6
12,196,8,65,0,4,16.4,546,3
14,173,4,77,1,22,22.9,333,2
34,357,9,77,1,22,16.6,244,4
93,776,10,57,1,20,19,492,3
64,382,7,83,1,6,11.1,249,2
46,865,3,56,0,14,18.1,453,7
18,568,4,46,0,20,11.3,310,6
54,571,5,96,1,19,17.9,283,2
24,285,5,85,1,22,8.6,502,3
15,409,4,87,0,21,13.4,498,7
59,715,5,48,1,13,12.8,460,5
19,392,6,59,0,18,16.2,131,3
28,563,4,53,1,18,19.3,161,7
20,363,5,49,1,15,21.2,146,6
40,587,8,67,0,21,20.2,171,6
67,623,9,93,0,20,19.1,319,6
21,347,5,50,1,12,9.9,509,1
11,250,9,53,0,15,21.9,278,6
70,870,5,86,0,5,17.2,254,4
48,620,6,68,1,1,8.9,238,5
49,616,4,47,1,14,13.6,456,2
47,385,7,60,1,3,13.1,423,2
57,460,6,89,1,13,12.7,203,1
19,490,6,40,0,22,9.7,545,6
39,626,5,88,0,19,14.2,403,5
13,195,3,42,1,5,17.8,222,6
34,620,5,52,1,14,14.2,407,6
19,185,9,55,1,16,10.9,527,3
48,227,9,95,1,5,19.6,330,6
34,241,4,87,1,4,18.3,163,4
22,312,8,39,1,9,22.3,418,6
122,802,10,93,0,3,14.8,306,2
71,791,4,65,1,18,20.8,248,7
40,673,4,60,0,19,13.2,501,2
60,382,6,96,1,14,22.6,462,4
39,410,7,79,1,9,12.7,211,5
43,582,9,36,0,12,16.1,206,3
44,634,8,73,0,17,14.9,235,6
62,686,6,70,1,7,22.7,340,5
63,638,5,62,1,2,11.6,217,7
29,715,4,76,0,16,20,377,6
61,747,4,76,0,1,13.2,188,2
30,591,3,74,0,20,20.9,428,1
34,352,9,58,1,21,20,253,5
64,671,10,37,1,20,18.7,325,4
71,569,4,88,1,11,8.5,155,3
26,528,6,62,0,12,15,438,6
47,645,9,79,0,14,19.3,331,2
51,669,9,72,0,21,22.4,533,7
38,777,6,44,0,21,16.7,505,2
69,616,10,46,1,21,20.8,392,1
18,462,4,35,0,6,15.6,365,6
26,481,9,83,0,18,22.2,121,5
63,817,10,65,0,11,9.8,208,2
26,535,3,37,1,5,11.9,285,4
66,900,5,48,1,22,19.3,341,4
11,227,6,40,0,13,9.6,491,4
83,887,5,96,0,8,21.8,185,1
39,450,10,82,0,4,11.4,289,1
13,203,7,39,1,12,9.1,124,3
41,459,5,98,1,16,10.7,259,4
84,870,6,71,1,11,18.4,311,7
11,451,7,35,0,18,16.5,398,6
20,257,5,53,1,2,17.2,272,5
28,475,3,51,0,6,10.9,463,3
44,459,3,61,1,3,14.6,418,2
32,662,4,92,0,3,15.3,478,6
24,615,4,94,0,19,22.9,464,6
46,544,7,98,0,18,22.9,326,5
11,175,8,71,0,22,10.6,396,6
34,416,7,48,1,19,23.3,257,4
